0.75
"class4","p"
"II",0.858
"II",0.854
"nonevent",0.112
"nonevent",0.618
"II",0.868
"II",0.928
"II",0.928
"nonevent",0.444
"Ib",0.914
"nonevent",0.378
"nonevent",0.048
"nonevent",0.08
"Ia",0.988
"nonevent",0.346
"II",0.948
"Ib",0.872
"nonevent",0.428
"II",0.838
"nonevent",0.114
"nonevent",0.112
"nonevent",0.034
"nonevent",0.228
"Ib",0.896
"nonevent",0.594
"nonevent",0.414
"nonevent",0.34
"nonevent",0.246
"II",0.934
"II",0.948
"nonevent",0.066
"nonevent",0.642
"II",0.916
"II",0.926
"nonevent",0.28
"nonevent",0.494
"II",0.996
"Ib",0.996
"nonevent",0.188
"nonevent",0.448
"Ib",0.902
"Ib",0.736
"Ib",0.792
"Ib",0.992
"nonevent",0.61
"II",0.906
"nonevent",0.028
"nonevent",0.232
"nonevent",0.382
"nonevent",0.098
"nonevent",0.296
"nonevent",0.446
"nonevent",0.386
"nonevent",0.462
"nonevent",0.17
"nonevent",0.664
"nonevent",0.158
"nonevent",0.172
"nonevent",0.004
"Ib",0.772
"Ib",0.926
"II",0.682
"nonevent",0.156
"nonevent",0.1
"nonevent",0.442
"nonevent",0.146
"Ib",0.86
"II",0.854
"nonevent",0.402
"nonevent",0.052
"nonevent",0.65
"II",0.818
"nonevent",0.058
"nonevent",0.364
"II",0.612
"nonevent",0.224
"II",0.852
"Ib",0.874
"nonevent",0.312
"nonevent",0.08
"Ib",0.954
"Ib",0.944
"II",0.608
"II",0.888
"nonevent",0.26
"Ib",0.796
"Ib",0.95
"nonevent",0.504
"nonevent",0.372
"nonevent",0.058
"II",0.8
"nonevent",0.216
"II",0.93
"Ib",0.77
"nonevent",0.046
"nonevent",0.484
"II",0.68
"nonevent",0.624
"Ib",0.874
"Ib",0.976
"nonevent",0.634
"Ib",0.92
"nonevent",0.564
"nonevent",0.074
"nonevent",0.202
"nonevent",0.304
"Ib",1
"Ib",0.962
"Ib",0.984
"nonevent",0.348
"nonevent",0.15
"nonevent",0.132
"nonevent",0.046
"Ib",0.998
"nonevent",0.36
"nonevent",0.104
"nonevent",0.454
"II",0.992
"nonevent",0.212
"nonevent",0.02
"II",0.814
"nonevent",0.248
"nonevent",0.02
"nonevent",0.038
"nonevent",0.124
"nonevent",0.002
"II",0.848
"II",0.87
"II",0.82
"Ib",0.946
"nonevent",0.354
"Ib",0.878
"nonevent",0.396
"Ia",0.966
"Ib",0.862
"Ia",0.948
"II",0.974
"nonevent",0.19
"nonevent",0.63
"nonevent",0.532
"nonevent",0.06
"II",0.584
"Ib",0.956
"II",0.722
"nonevent",0.05
"nonevent",0.314
"nonevent",0.212
"nonevent",0.626
"II",0.706
"nonevent",0.13
"nonevent",0.11
"II",0.856
"nonevent",0.008
"II",0.938
"Ib",0.856
"nonevent",0.142
"nonevent",0.272
"II",0.962
"nonevent",0.184
"nonevent",0.18
"nonevent",0.108
"Ib",0.896
"nonevent",0.446
"II",0.84
"nonevent",0.146
"nonevent",0.162
"nonevent",0.186
"Ib",0.74
"nonevent",0.422
"Ib",0.992
"Ib",0.95
"nonevent",0.366
"nonevent",0.344
"nonevent",0.432
"nonevent",0.682
"nonevent",0.286
"Ib",0.964
"nonevent",0.18
"II",0.926
"nonevent",0.374
"Ib",0.948
"nonevent",0.08
"Ib",0.978
"nonevent",0.168
"nonevent",0.278
"nonevent",0.056
"II",0.77
"II",0.954
"nonevent",0.38
"nonevent",0.346
"II",0.704
"nonevent",0.082
"nonevent",0.182
"nonevent",0.468
"Ib",0.962
"nonevent",0.428
"nonevent",0.106
"nonevent",0.246
"nonevent",0.236
"nonevent",0.084
"nonevent",0.12
"Ib",0.954
"Ib",0.798
"nonevent",0.248
"nonevent",0.124
"nonevent",0.122
"nonevent",0.062
"nonevent",0.068
"II",0.888
"nonevent",0.246
"nonevent",0.306
"nonevent",0.122
"Ib",0.994
"nonevent",0.168
"nonevent",0.288
"nonevent",0.184
"nonevent",0.234
"nonevent",0.072
"II",0.794
"Ib",0.802
"II",0.864
"Ib",0.98
"nonevent",0.24
"Ib",0.754
"nonevent",0.204
"nonevent",0.386
"nonevent",0.49
"nonevent",0.492
"nonevent",0.342
"nonevent",0.146
"nonevent",0.054
"nonevent",0.508
"nonevent",0.226
"Ia",0.93
"Ia",0.974
"nonevent",0.512
"nonevent",0.678
"nonevent",0.344
"nonevent",0.07
"nonevent",0.312
"nonevent",0.178
"nonevent",0.27
"nonevent",0.022
"nonevent",0.094
"nonevent",0.158
"nonevent",0.024
"II",0.822
"nonevent",0.068
"nonevent",0.024
"II",0.608
"nonevent",0.3
"nonevent",0.214
"nonevent",0.366
"nonevent",0.434
"Ib",0.924
"nonevent",0.27
"Ib",0.976
"nonevent",0.598
"nonevent",0.42
"nonevent",0.022
"nonevent",0.028
"nonevent",0.054
"nonevent",0.334
"Ib",0.966
"II",0.704
"II",0.96
"nonevent",0.044
"II",0.706
"nonevent",0.206
"Ib",0.882
"nonevent",0.476
"Ib",0.98
"nonevent",0.41
"II",0.908
"nonevent",0.154
"nonevent",0.152
"nonevent",0.416
"nonevent",0.062
"Ia",0.85
"nonevent",0.458
"nonevent",0.272
"nonevent",0.37
"Ib",0.988
"nonevent",0.222
"nonevent",0.12
"II",0.91
"nonevent",0.072
"Ib",0.804
"II",0.978
"II",0.908
"II",0.914
"nonevent",0.008
"nonevent",0.502
"nonevent",0.148
"nonevent",0.132
"nonevent",0.028
"nonevent",0.256
"nonevent",0.19
"nonevent",0.38
"Ib",0.85
"Ib",0.93
"II",0.512
"II",0.972
"nonevent",0.048
"Ib",0.946
"nonevent",0.614
"nonevent",0.178
"nonevent",0.472
"nonevent",0.194
"nonevent",0.28
"nonevent",0.066
"nonevent",0.03
"nonevent",0.19
"nonevent",0.49
"nonevent",0.258
"II",0.99
"nonevent",0.064
"II",0.78
"nonevent",0.364
"nonevent",0.19
"Ib",0.856
"nonevent",0.558
"nonevent",0.188
"Ib",0.76
"nonevent",0.062
"Ia",0.658
"nonevent",0.56
"nonevent",0.242
"Ib",0.902
"nonevent",0.334
"Ib",0.836
"nonevent",0.096
"nonevent",0.318
"Ib",0.824
"II",0.63
"nonevent",0.438
"II",0.982
"nonevent",0.208
"nonevent",0.036
"nonevent",0.09
"II",0.992
"Ia",0.984
"Ib",0.75
"nonevent",0.15
"nonevent",0.124
"nonevent",0.082
"Ib",0.904
"II",0.952
"nonevent",0.678
"nonevent",0.214
"nonevent",0.038
"II",0.984
"nonevent",0.15
"nonevent",0.162
"nonevent",0.59
"nonevent",0.058
"nonevent",0.054
"II",0.984
"nonevent",0.118
"II",0.938
"II",0.694
"nonevent",0.07
"nonevent",0.302
"II",0.974
"Ib",0.87
"Ib",0.702
"nonevent",0.336
"nonevent",0.61
"nonevent",0.602
"II",0.86
"nonevent",0.62
"nonevent",0.428
"nonevent",0.604
"II",0.974
"nonevent",0.23
"Ia",0.954
"nonevent",0.23
"nonevent",0.074
"Ib",0.768
"nonevent",0.578
"nonevent",0.506
"nonevent",0.068
"II",0.968
"II",0.988
"nonevent",0.162
"II",0.73
"nonevent",0.548
"Ib",0.962
"Ib",0.994
"nonevent",0.134
"nonevent",0.126
"II",0.632
"nonevent",0.374
"Ib",0.948
"nonevent",0.462
"II",0.756
"nonevent",0.038
"II",0.622
"Ib",0.852
"nonevent",0.104
"nonevent",0.202
"nonevent",0.354
"II",0.764
"nonevent",0.262
"nonevent",0.442
"Ib",0.766
"II",0.874
"II",0.98
"Ib",0.84
"nonevent",0.28
"nonevent",0.036
"nonevent",0.004
"nonevent",0.668
"II",0.97
"nonevent",0.442
"nonevent",0.244
"II",0.682
"II",0.756
"Ib",0.934
"II",0.926
"Ib",0.992
"nonevent",0.158
"nonevent",0.036
"Ib",0.986
"II",0.992
"nonevent",0.52
"Ib",0.952
"Ib",0.94
"II",0.942
"nonevent",0.37
"II",0.942
"nonevent",0.298
"II",0.922
"Ib",0.96
"nonevent",0.15
"nonevent",0.166
"II",0.822
"Ib",0.764
"nonevent",0.058
"Ib",0.986
"II",0.824
"nonevent",0.162
"II",0.894
"II",0.916
"nonevent",0.208
"nonevent",0.41
"nonevent",0.278
"nonevent",0.054
"II",0.91
"II",0.962
"II",0.948
"nonevent",0.224
"nonevent",0.058
"nonevent",0.4
"nonevent",0.2
"nonevent",0.452
"nonevent",0.046
"Ib",0.96
"nonevent",0.524
"nonevent",0.3
"II",0.67
"nonevent",0.046
"nonevent",0.074
"nonevent",0.056
"II",0.98
"nonevent",0.094
"II",0.958
"nonevent",0.604
"Ia",0.912
"Ib",0.92
"nonevent",0.328
"nonevent",0.352
"II",0.828
"nonevent",0.234
"nonevent",0.144
"nonevent",0.28
"nonevent",0.224
"nonevent",0.664
"nonevent",0.062
"II",0.664
"nonevent",0.376
"nonevent",0.146
"Ib",0.952
"Ib",0.836
"nonevent",0.142
"II",0.632
"nonevent",0.368
"nonevent",0.11
"nonevent",0.332
"Ib",0.966
"nonevent",0.408
"nonevent",0.216
"Ib",0.858
"II",0.874
"nonevent",0.214
"nonevent",0.18
"nonevent",0.248
"nonevent",0.176
"nonevent",0.07
"Ib",0.818
"nonevent",0.05
"Ib",0.976
"Ib",0.732
"nonevent",0.538
"nonevent",0.558
"nonevent",0.35
"nonevent",0.172
"nonevent",0.01
"nonevent",0.43
"Ib",0.924
"nonevent",0.038
"Ib",0.974
"nonevent",0.508
"nonevent",0.142
"nonevent",0.098
"II",0.968
"nonevent",0.062
"nonevent",0.246
"nonevent",0.132
"Ib",0.734
"nonevent",0.554
"II",0.964
"Ib",0.934
"Ib",0.9
"II",0.836
"nonevent",0.05
"nonevent",0.154
"nonevent",0.046
"Ib",0.816
"Ib",0.844
"Ib",0.968
"Ib",0.992
"nonevent",0.356
"nonevent",0.308
"Ia",0.918
"Ib",0.69
"nonevent",0.374
"nonevent",0.044
"II",0.948
"nonevent",0.216
"II",0.724
"II",0.766
"nonevent",0.426
"nonevent",0.096
"nonevent",0.25
"Ib",0.982
"nonevent",0.228
"nonevent",0.572
"nonevent",0.04
"Ib",0.988
"nonevent",0.156
"nonevent",0.382
"II",0.944
"nonevent",0.398
"nonevent",0.534
"nonevent",0.056
"nonevent",0.042
"Ib",0.926
"nonevent",0.266
"II",0.82
"II",0.988
"nonevent",0.084
"II",0.768
"nonevent",0.398
"Ib",0.916
"Ib",0.84
"II",0.872
"nonevent",0.516
"nonevent",0.474
"nonevent",0.084
"nonevent",0.596
"nonevent",0.338
"nonevent",0.356
"nonevent",0.006
"nonevent",0.32
"nonevent",0.158
"nonevent",0.122
"II",0.954
"Ib",0.964
"nonevent",0.538
"Ib",0.986
"nonevent",0.314
"nonevent",0.488
"nonevent",0.488
"nonevent",0.154
"Ib",0.918
"Ib",0.986
"II",0.922
"nonevent",0.182
"nonevent",0.372
"nonevent",0.464
"nonevent",0.166
"II",0.968
"II",0.986
"Ib",0.87
"II",0.692
"nonevent",0.23
"nonevent",0.114
"nonevent",0.228
"nonevent",0.03
"Ib",0.89
"nonevent",0.144
"II",0.98
"Ib",0.73
"Ib",0.846
"nonevent",0.29
"nonevent",0.498
"nonevent",0.476
"II",0.744
"nonevent",0.03
"nonevent",0.452
"nonevent",0.488
"nonevent",0.408
"nonevent",0.564
"II",0.696
"nonevent",0.286
"nonevent",0.34
"nonevent",0.226
"nonevent",0.306
"nonevent",0.082
"nonevent",0.364
"II",0.94
"nonevent",0.022
"nonevent",0.562
"nonevent",0.164
"II",0.944
"nonevent",0.158
"Ib",0.89
"nonevent",0.08
"II",0.752
"nonevent",0.504
"Ib",0.938
"nonevent",0.042
"nonevent",0.252
"II",0.96
"nonevent",0.202
"II",0.976
"II",0.894
"nonevent",0.088
"nonevent",0.068
"Ia",0.994
"nonevent",0.24
"nonevent",0.094
"nonevent",0.18
"nonevent",0.064
"nonevent",0.052
"nonevent",0.476
"Ib",0.92
"nonevent",0.086
"nonevent",0.376
"Ib",0.982
"nonevent",0.356
"Ib",0.964
"nonevent",0.368
"nonevent",0.602
"nonevent",0.604
"II",0.834
"nonevent",0.152
"nonevent",0.61
"II",0.77
"II",0.886
"II",0.992
"nonevent",0.008
"Ib",0.768
"nonevent",0.024
"nonevent",0.47
"II",0.966
"nonevent",0.04
"nonevent",0.21
"nonevent",0.25
"II",0.984
"nonevent",0.19
"nonevent",0.204
"II",0.732
"II",0.534
"nonevent",0.252
"nonevent",0.506
"nonevent",0.18
"Ib",0.994
"II",0.99
"II",0.954
"nonevent",0.13
"Ib",0.926
"nonevent",0.118
"nonevent",0.522
"II",0.874
"nonevent",0.1
"nonevent",0.11
"Ib",0.906
"Ib",0.992
"nonevent",0.344
